Protocol,Sub_Sector,Daily_Revenue_USD,7d_Revenue_USD,30d_Revenue_USD
Alandale V3,Dexs,1966.0,28471.0,103052.48999999999
Lista Liquid Staking,Liquid Staking,1938.0,34293.0,97308.0
DEXTools,Coins Tracker,1913.0,17735.0,81460.0
Stake DAO Yield,Yield,1912.0,18188.0,78835.01999999999
NTM.ai,SoFi,1902.0,13564.0,50109.0
Fusion by IPOR,Yield Aggregator,1853.0,10818.0,26384.0
Byreal,Dexs,1827.0,17410.0,60918.0
Defi Saver Asset Management,CDP Manager,1798.0,20904.0,193309.94
Cooler Loans,Lending,1758.0,12472.0,52796.0
Benqi Staked Avax,Liquid Staking,1754.0,13388.0,70830.0
Suilend,Lending,1741.0,11666.0,77025.0
Balancer V2,Dexs,1737.0,11596.0,50626.0
JustLend V1,Lending,1700.0,10695.0,47285.0
HawkFi,Liquidity Manager,1694.0,11906.0,25365.0
xExchange,Dexs,1638.0,4772.0,11803.0
Matcha,Trading App,1600.0,15212.0,102490.0
Nexus Mutual,Insurance,1593.0,17202.17,56357.259999999995
MetaMask USD,Stablecoin Issuer,1545.0,10250.0,47306.0
Migrate.Fun,Interface,1538.0,17087.0,19516.11
Stakee,Liquid Staking,1533.0,14279.0,61808.770000000004
Drift Staked SOL,Liquid Staking,1529.0,7803.74,29995.63
OP Mainnet,Chain,1525.0,15081.0,66263.0
PulseX V2,Dexs,1525.0,10383.0,55604.0
Cook Market,Launchpad,1504.0,4243.0,4243.0
MorpheusAI,AI Agents,1496.0,10464.0,41857.0
Hydration Lending,Lending,1482.0,10903.0,45831.0
Dexalot,Chain,1478.0,9569.0,38567.19
Traderline Predictions,Interface,1469.0,7313.0,36773.0
RockawayX,Risk Curators,1455.0,9945.0,30552.0
Aera V3,Onchain Capital Allocator,1439.0,15068.0,129259.0
CheesePad,Launchpad,1435.0,2111.88,23168.24
The Vault Liquid Staking,Liquid Staking,1435.0,5994.12,24915.17
OpenLedger,Decentralized AI,1432.0,9097.0,36823.0
OPINION,Prediction Market,1429.0,10309.0,45471.0
KAIO,RWA,1424.0,9968.0,42267.0
Alchemix V3,Synthetics,1422.0,13183.0,84824.0
Bucket Shop,Yield,1418.0,12568.0,64528.0
Lighter Spot,Dexs,1414.0,20483.0,86572.0
Beefy,Yield Aggregator,1413.0,25664.0,88059.0
Bybit Staked SOL,Liquid Staking,1400.0,6777.719999999999,35733.55
Clearstar,Risk Curators,1398.0,10694.0,41934.0
Origin Ether,Liquid Staking,1390.0,9767.0,40047.0
Imperator.co HYPE Staking,Staking Pool,1362.0,10006.0,41594.0
SushiSwap V3,Dexs,1356.0,16077.0,132206.0
StakeWise V3,Liquid Staking,1340.0,9002.0,36783.0
Livepeer,Video Infrastructure,1335.0,13043.0,89646.0
Rhea Lend,Lending,1330.0,10599.0,47865.0
Boros,Interest Rate Derivatives,1314.0,8269.0,34953.0
Metascalp Perps,Interface,1312.0,12639.0,74946.0
PagCrypto,Payments,1310.0,27771.0,136539.52000000002
Apollo Diversified Credit Securitize Fund,RWA,1306.0,9157.0,39231.0
TRUE DEX,Derivatives,1304.0,168723.0,530122.0
stHYPE,Liquid Staking,1297.0,9492.0,38855.0
Pez Family,Launchpad,1293.0,126033.0,299973.0
Minswap DEX,Dexs,1287.0,8479.0,41844.0
Gondi V3,NFT Lending,1278.0,6021.0,35589.0
entropy.io,Interface,1277.0,9013.0,37821.0
Shoebill V2,Lending,1260.0,9307.0,28047.0
Curvance,Lending,1257.0,10220.0,40636.0
AGNT,Launchpad,1254.0,12126.0,17329.08
LetsCash,Launchpad,1239.0,25411.0,196768.0
Moonshot Create,Launchpad,1239.0,10310.0,63147.0
Pier Two HYPE Staking,Staking Pool,1237.0,9129.0,38749.0
Bags,Launchpad,1233.0,41202.0,892943.0
Temple,Dexs,1232.0,9122.0,39747.0
Validao HYPE Staking,Staking Pool,1229.0,8982.0,37517.0
B-Harvest HYPE Staking,Staking Pool,1225.0,8936.0,37207.0
ElfomoFi,Dexs,1224.0,9636.0,19726.3
Blackhole CLMM,Dexs,1222.0,12717.0,64027.0
Symbiosis,Cross Chain Bridge,1221.0,29770.0,103719.0
Stellar,Chain,1219.0,9870.0,40613.0
USDT0-Luganodes HYPE Staking,Staking Pool,1213.0,8880.0,36753.0
GAIB,RWA,1211.0,7762.0,37520.0
Strike Finance Perpetuals,Derivatives,1190.0,16914.0,68203.0
Moonwell Lending,Lending,1189.0,6767.0,93481.0
Legend Trade,Interface,1188.0,12766.0,60706.0
alphagrowth,Risk Curators,1186.0,8260.0,34477.0
HypurrCorea HYPE Staking,Staking Pool,1174.0,8461.0,35489.0
AlphaFi Lending,Lending,1172.0,9080.0,94086.0
Near,Chain,1167.0,10080.0,37300.0
DexFi Aggregator,Yield Aggregator,1159.0,12504.0,41258.0
PancakeSwap Lottery,Luck Games,1135.0,7114.84,20119.5
Sui,Chain,1123.0,9885.0,43244.0
Phase Delegation,Liquid Staking,1122.0,5700.01,21652.02
X Layer,Chain,1112.0,14919.0,45658.0
Linea,Chain,1110.0,7856.0,36608.0
Rango,Bridge Aggregator,1105.0,4378.0,12128.21
STON.fi,Dexs,1100.0,9328.0,66096.0
Derive V2,Derivatives,1092.0,10803.0,78228.0
Liqwid,Lending,1069.0,7447.0,22965.0
Bluefin Spot,Dexs,1067.0,9263.0,42318.0
THENA INTEGRAL,Dexs,1058.0,11647.0,65585.0
HypurrScan HYPE Staking,Staking Pool,1056.0,8025.0,33388.0
Telemetry,Trading App,1054.0,5348.0,23596.0
Current,Lending,1047.0,7253.0,31168.0
Aquarius Stellar,Dexs,1043.0,10559.0,66104.0
Liquity V1,CDP,1022.0,1568.68,19339.77
Axiom Perps,Interface,1016.0,6227.0,28927.0
Gauntlet,Risk Curators,1006.0,7264.0,33148.0
Jetbit,Derivatives,995.0,4772.0,33345.0
Forward Industries SOL,Liquid Staking,995.0,4122.0,14868.01
P2P.me,Payments,989.0,10107.0,37914.0
Tree News,SoFi,987.0,28821.0,76647.0
Haedal Protocol,Liquid Staking,986.0,7284.0,30635.0
STKESOL by SOL Strategies,Liquid Staking,966.0,4545.68,19296.65
BlazeStake,Liquid Staking,966.0,5839.719999999999,22561.800000000003
MineBean,Gamified Mining,963.0,7298.0,45688.0
DODO AMM,Dexs,959.0,19792.0,40739.0
Smithii,Launchpad,939.0,7131.0,29172.0
Drake Exchange,Derivatives,927.0,3502.48,4369.2
TON,Chain,922.0,6871.0,42476.0
Vexy,NFT Marketplace,901.0,5467.0,24749.18
DoubleZero Staked SOL,Liquid Staking,899.0,3684.37,48225.87
What The Hook,Liquidity Automation,889.0,10742.0,36471.0
Astros Perp,Derivatives,883.0,6615.0,19185.0
Benqi Lending,Lending,850.0,6462.0,25868.0
Extra Finance Leverage Farming,Leveraged Farming,849.0,6972.0,37133.0
RayBot,Telegram Bot,847.0,8424.0,30865.0
PAIR,Launchpad,845.0,18487.0,174038.0
Vesper,Yield Aggregator,841.0,1022.31,6499.789999999999
Lombard LBTC,Restaked BTC,822.0,20802.0,62060.0
Orvex,Dexs,819.0,9042.0,39026.0
JagPool Staked SOL,Liquid Staking,800.0,3176.0300000000007,13104.51
Meteora DAMM V1,Dexs,790.0,6629.0,33810.0
Futarchy AMM,Dexs,789.0,19848.0,140946.0
THENA FUSION,Dexs,787.0,4989.0,21768.0
Hyperithm,Risk Curators,781.0,5873.0,21188.0
Infinex Perp,Interface,778.0,6206.0,26990.0
HyperSwap V2,Dexs,774.0,7278.0,47047.55
Mainstreet,Yield,773.0,4943.0,16079.0
Aborean CL,Dexs,772.0,4149.0,25432.3
Valhalla,Liquidity Automation,770.0,6520.0,11543.0
Hybra V4,Dexs,766.0,7593.0,56131.0
vfat.io,Yield Aggregator,765.0,7763.0,35433.0
Kinetiq Earn,Yield Aggregator,752.0,4919.0,18950.0
Kittenswap Algebra,Dexs,742.0,7485.0,36969.0
Gate SOL,Liquid Staking,736.0,2982.77,11884.100000000002
Bluefin Pro,Derivatives,736.0,5045.0,19387.0
Umia,Launchpad,730.0,22070.0,143166.11
Yearn Finance,Yield Aggregator,729.0,13999.0,43125.0
dfdvSOL,Liquid Staking,729.0,2988.37,7368.150000000001
Echelon Market,Lending,720.0,5010.0,21893.0
Ostium,Derivatives,718.0,6023.0,546366.0
SUNSwap V2,Dexs,717.0,8126.0,49008.0
SOFA.org,Options,700.0,924.47,5642.0199999999995
Raphael Exchange CL,Dexs,694.0,2814.0,2814.0
Bounce.Tech,Derivatives,688.0,8883.0,90263.6
tBTC,Decentralized BTC,687.0,13825.0,44454.24
PotatoSwap V2,Dexs,682.0,5244.0,14072.0
EtherFi Borrowing Market,Lending,677.0,4787.0,31807.0
9mm V3,Dexs,675.0,3913.0,18166.0
Tydro,Lending,674.0,4759.0,18445.0
SOCKET Protocol,Bridge Aggregator,656.0,6515.0,22158.0
Bungee Bridge Aggregator,Bridge Aggregator,656.0,6515.0,22294.0
Exponent Yield Exchange,Yield,652.0,8721.0,44562.0
DeDust,Dexs,651.0,3844.0,30066.0
Turbos,Dexs,642.0,7524.0,32586.0
LiquidSpirit-Hydromancer-RektGang HYPE Staking,Staking Pool,641.0,4713.0,19579.0
HyperSwap V3,Dexs,639.0,5958.0,46320.0
Arcadia V2,Liquidity Manager,631.0,7370.0,25912.0
DeBank Cloud,Developer Tools,628.0,7871.0,34712.0
Ink,Chain,622.0,6452.0,26538.0
Bitwise HYPE Staking,Staking Pool,612.0,4522.0,18405.0
foxify,Derivatives,611.0,4122.0,12622.0
PumpBox,Physical TCG,611.0,20122.28,51794.09
up v2,Dexs,611.0,5175.0,30629.0
Save,Lending,598.0,3735.0,13797.0
TokenWorks,NFT Automated Strategies,591.0,14143.97,55854.97
Shadow Exchange CLMM,Dexs,591.0,5325.0,34691.0
Gearbox,Lending,588.0,606.68,3602.2100000000005
Purrposeful HYPE Staking,Staking Pool,587.0,4296.0,17908.0
MoonBot,Interface,570.0,10847.0,64373.0
Osmosis DEX,Dexs,565.0,9800.0,39403.0
BendDAO Lending V1,NFT Lending,556.0,3899.0,16045.0
Fulcrom Perps,Derivatives,555.0,10404.0,69829.68
Helius Staked SOL,Liquid Staking,546.0,2436.9300000000003,9164.54
Hyperlane,Cross Chain Bridge,537.0,6159.0,23070.0
clanker,Launchpad,533.0,10675.0,54657.0
Mantle,Chain,532.0,3922.0,11440.0
Kinetic,Lending,521.0,4005.0,14765.0
Hylo LSTs,Liquid Staking,520.0,2091.54,9645.14
Fluid DEX,Dexs,519.0,4775.0,28760.0
Rise.rich,Launchpad,514.0,4772.0,65123.0
Nerona,Yield Aggregator,514.0,2608.0,11954.0
Rhea Dex,Dexs,508.0,13453.0,35540.0
Meria HYPE Staking,Staking Pool,508.0,3573.0,14377.0
GIGA V2,Dexs,504.0,3670.74,5087.3
